kategori_wilayah,kategori_membership,bergabung_melalui_referral,jenis_penawaran_preferensi,medium_operasi,rata_rata_waktu_dihabiskan,rata_rata_nilai_transaksi,rata_rata_hari_login,poin_di_dompet,menggunakan_diskon_khusus,preferensi_aplikasi_penawaran,umpan_balik
Unknown,Platinum Membership,No,Without Offers,Both,277.86,13453.78,6.0,782.38,Yes,No,No reason specified
Village,Gold Membership,Yes,Without Offers,Smartphone,801.13375,31441.86,22.0,299.8337499999999,Yes,Yes,Poor Website
Unknown,Basic Membership,Unknown,Credit/Debit Card Offers,Desktop,144.12,16677.9,9.0,615.36,Yes,No,No reason specified
City,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,561.61,17680.46,15.0,524.0165195,No,Yes,Poor Product Quality
Town,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,130.82,1181.38,9.0,625.43,Yes,No,Too many ads
Unknown,Basic Membership,Unknown,Credit/Debit Card Offers,Smartphone,137.68,41904.93,11.0,685.23,No,Yes,Poor Product Quality
Town,Platinum Membership,Yes,Without Offers,Both,407.82,20455.25,27.0,1031.30375,No,Yes,Poor Product Quality
City,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,568.36,9942.41,36.11476844,781.03,Yes,No,Products always in Stock
City,Basic Membership,Yes,Credit/Debit Card Offers,Smartphone,164.25,42161.53,29.0,299.8337499999999,Yes,No,Poor Customer Service
Town,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,43.18,73462.12,1.0,789.46,Yes,No,Quality Customer Care
Unknown,No Membership,No,Unknown,Smartphone,84.78,5267.26,18.0,600.77,No,Yes,Poor Website
Unknown,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,479.59,43368.98,27.0,743.72,No,Yes,Poor Website
Unknown,Premium Membership,Unknown,Credit/Debit Card Offers,Desktop,41.5,10012.81,5.0,753.81,No,Yes,Poor Product Quality
Town,No Membership,Yes,Gift Vouchers/Coupons,Desktop,43.49,45325.79,24.0,676.73,No,Yes,Poor Customer Service
Town,Premium Membership,Yes,Gift Vouchers/Coupons,Both,416.99,26749.27,15.0,743.94,No,Yes,Poor Product Quality
City,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,801.13375,44657.81,18.0,299.8337499999999,Yes,No,Poor Website
Town,Premium Membership,No,Credit/Debit Card Offers,Smartphone,114.6,32300.94,9.0,773.88,No,Yes,Too many ads
Village,Premium Membership,Yes,Gift Vouchers/Coupons,Both,801.13375,2968.29,12.0,763.79,No,Yes,Reasonable Price
City,Platinum Membership,No,Without Offers,Unknown,0.0,2908.78,5.0,832.7,Yes,No,Quality Customer Care
Unknown,Platinum Membership,No,Credit/Debit Card Offers,Unknown,181.96,43763.77,19.0,833.12,Yes,No,User Friendly Website
Unknown,No Membership,No,Gift Vouchers/Coupons,Smartphone,357.09,7333.05,26.0,677.69,Yes,No,Poor Website
Town,Premium Membership,No,Without Offers,Desktop,293.84,12102.23,22.0,299.8337499999999,Yes,No,No reason specified
Unknown,Silver Membership,No,Credit/Debit Card Offers,Unknown,32.31,11022.62,19.0,702.14,Yes,No,No reason specified
Town,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,106.84,19714.12,18.0,799.31,Yes,No,No reason specified
Unknown,No Membership,No,Credit/Debit Card Offers,Unknown,188.55,12163.78,0.0,689.49,Yes,No,Poor Website
Town,Gold Membership,No,Credit/Debit Card Offers,Desktop,32.42,44202.01,12.0,754.93,No,Yes,Poor Website
Town,Basic Membership,Yes,Credit/Debit Card Offers,Desktop,32.62,11547.13,0.0,647.46,Yes,No,Poor Product Quality
Village,Premium Membership,Unknown,Gift Vouchers/Coupons,Desktop,370.34,80871.465,13.0,1031.30375,Yes,Yes,Products always in Stock
Town,Premium Membership,No,Without Offers,Smartphone,75.28,35435.17,0.0,299.8337499999999,No,Yes,Poor Product Quality
Town,Silver Membership,No,Gift Vouchers/Coupons,Smartphone,801.13375,13934.24,17.0,622.01,Yes,No,Poor Customer Service
Town,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,761.61,7710.78,9.0,299.8337499999999,Yes,Yes,Poor Website
Town,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,83.07,35008.78,0.0,787.74,Yes,No,Reasonable Price
Town,No Membership,No,Credit/Debit Card Offers,Desktop,31.04,3084.66,14.0,649.37,No,Yes,Too many ads
Town,Gold Membership,No,Gift Vouchers/Coupons,Unknown,369.79,48886.63,23.0,299.8337499999999,Yes,No,Poor Product Quality
Town,Gold Membership,Yes,Without Offers,Both,346.59,20206.39,26.0,749.72,No,Yes,No reason specified
Town,Silver Membership,No,Gift Vouchers/Coupons,Desktop,314.75,26901.24,7.0,299.8337499999999,Yes,No,Too many ads
Town,Premium Membership,Yes,Without Offers,Both,801.13375,26632.19,0.0,507.0161026,No,Yes,Poor Website
Town,No Membership,No,Credit/Debit Card Offers,Desktop,210.1,33064.22,11.0,693.85,No,Yes,Poor Website
City,No Membership,Unknown,Gift Vouchers/Coupons,Unknown,746.19,49234.65,9.0,669.66,Yes,No,Too many ads
Town,No Membership,Unknown,Without Offers,Desktop,504.52,38844.9,0.0,716.83,Yes,No,Poor Customer Service
City,Gold Membership,Yes,Credit/Debit Card Offers,Desktop,86.55,33776.85,29.0,780.39,No,Yes,Poor Product Quality
City,Silver Membership,Yes,Credit/Debit Card Offers,Unknown,0.0,46417.32,6.0,299.8337499999999,Yes,No,Poor Product Quality
Village,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,30.4,10441.84,13.0,544.5,Yes,No,Poor Product Quality
Village,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,46.63,80871.465,9.0,717.0,No,Yes,User Friendly Website
City,Basic Membership,Unknown,Without Offers,Unknown,246.93,42362.83,13.0,710.69,No,Yes,Poor Product Quality
City,No Membership,Unknown,Credit/Debit Card Offers,Unknown,187.28,49565.37,10.0,661.53,No,Yes,No reason specified
Unknown,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,107.91,80553.18,19.0,774.05,No,Yes,Reasonable Price
City,No Membership,Yes,Gift Vouchers/Coupons,Desktop,30.62,49959.82,28.0,566.98,No,Yes,Poor Website
Unknown,No Membership,Yes,Gift Vouchers/Coupons,Unknown,34.07,45967.59,13.0,660.93,No,Yes,Poor Product Quality
Unknown,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,277.58,48599.35,16.0,655.24,No,Yes,Poor Website
City,Premium Membership,Yes,Gift Vouchers/Coupons,Unknown,473.0,44103.43,7.0,742.57,Yes,No,Poor Website
Town,No Membership,Yes,Credit/Debit Card Offers,Desktop,801.13375,6631.65,10.0,668.87,Yes,Yes,Poor Website
City,No Membership,Yes,Credit/Debit Card Offers,Desktop,131.65,35975.11,17.0,666.54,Yes,No,Too many ads
Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,276.8,49725.02,26.0,707.09,Yes,No,Poor Website
Unknown,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,358.45,23898.76,0.0,742.65,No,Yes,Poor Customer Service
City,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,64.7,36789.1,19.0,741.49,Yes,No,Poor Customer Service
City,No Membership,Unknown,Gift Vouchers/Coupons,Smartphone,0.0,45144.42,22.0,573.82,Yes,Yes,Poor Website
Unknown,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,725.32,21161.03,24.0,761.46,Yes,No,Poor Website
Town,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,126.89,13226.74,7.0,1027.823485,Yes,No,No reason specified
Town,Silver Membership,Unknown,Credit/Debit Card Offers,Desktop,459.6,42564.71,1.099322945,300.8033825,No,Yes,No reason specified
Unknown,Basic Membership,No,Without Offers,Unknown,0.0,34457.54,18.0,1031.30375,Yes,No,No reason specified
Town,Basic Membership,Yes,Without Offers,Desktop,58.76,32785.66,32.5067075,299.8337499999999,Yes,No,Poor Customer Service
City,No Membership,No,Gift Vouchers/Coupons,Smartphone,76.55,6450.46,12.0,602.64,Yes,No,Poor Website
Town,Gold Membership,Yes,Credit/Debit Card Offers,Both,213.45,43547.33,8.0,793.35,No,Yes,User Friendly Website
Unknown,Silver Membership,Yes,Credit/Debit Card Offers,Desktop,34.95,18765.68,29.0,760.41,Yes,No,No reason specified
City,No Membership,No,Without Offers,Smartphone,55.3,44490.85,0.0,645.94,No,Yes,Poor Product Quality
Village,Premium Membership,Yes,Gift Vouchers/Coupons,Unknown,228.23,48944.03,10.0,714.11,No,Yes,Too many ads
City,No Membership,Yes,Gift Vouchers/Coupons,Both,326.49,18797.26,28.0,632.4,Yes,No,Too many ads
Town,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,537.82,2585.85,21.0,1031.30375,No,Yes,Poor Customer Service
City,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,30.24,33715.39,13.0,796.69,Yes,No,Poor Product Quality
Town,Premium Membership,No,Credit/Debit Card Offers,Desktop,33.35,33072.8,15.0,707.85,No,Yes,No reason specified
City,No Membership,Yes,Credit/Debit Card Offers,Desktop,33.56,33050.85,8.0,559.34,No,Yes,Poor Product Quality
City,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,34.45,16916.14,10.0,754.4,No,Yes,Poor Website
Unknown,Basic Membership,Unknown,Gift Vouchers/Coupons,Unknown,461.37,40412.69,22.0,548.95,Yes,No,Poor Website
Village,No Membership,Unknown,Without Offers,Desktop,176.39,35729.22,22.0,638.56,No,Yes,Poor Website
Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,442.33,4549.67,12.0,648.94,Yes,Yes,Poor Customer Service
City,Silver Membership,Yes,Without Offers,Desktop,84.49,36993.22,11.0,614.4,Yes,No,No reason specified
Town,Premium Membership,No,Credit/Debit Card Offers,Smartphone,135.59,16867.01,19.0,749.34,Yes,No,Poor Product Quality
Town,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,104.9,5355.52,9.0,609.86,Yes,No,Poor Product Quality
Town,Gold Membership,Unknown,Gift Vouchers/Coupons,Both,801.13375,36476.49,15.0,630.93,No,Yes,Too many ads
City,Basic Membership,Yes,Gift Vouchers/Coupons,Unknown,33.31,17812.99,8.0,972.6446104,No,Yes,No reason specified
Town,Premium Membership,Unknown,Credit/Debit Card Offers,Unknown,319.86,17779.15,23.0,777.68,Yes,Yes,No reason specified
City,Gold Membership,No,Without Offers,Unknown,84.43,47009.1,23.0,714.66,No,Yes,Poor Customer Service
Town,No Membership,Yes,Credit/Debit Card Offers,Desktop,91.71,28744.97,23.0,511.55,No,Yes,Poor Customer Service
Unknown,Gold Membership,No,Credit/Debit Card Offers,Desktop,30.8,14944.38,21.0,634.78,Yes,No,Too many ads
Unknown,Basic Membership,No,Without Offers,Smartphone,317.98,32179.4,22.0,518.15,Yes,No,Too many ads
Town,Platinum Membership,Yes,Credit/Debit Card Offers,Desktop,33.4,30396.58,10.0,773.83,Yes,No,Poor Customer Service
City,Gold Membership,Yes,Without Offers,Desktop,103.33,45550.7,0.0,786.7468574,No,Yes,Too many ads
City,No Membership,No,Gift Vouchers/Coupons,Unknown,318.64,16232.74,14.0,608.17,No,Yes,Poor Product Quality
Town,Premium Membership,Unknown,Gift Vouchers/Coupons,Smartphone,0.0,59105.37,16.0,805.15,Yes,No,Quality Customer Care
Town,Gold Membership,Yes,Without Offers,Smartphone,801.13375,45342.56,8.0,704.03,No,Yes,Poor Product Quality
Unknown,Gold Membership,No,Without Offers,Desktop,358.45,80202.58,12.0,750.74,Yes,Yes,Products always in Stock
Town,Silver Membership,No,Credit/Debit Card Offers,Smartphone,82.92,57056.16,8.0,759.67,No,Yes,Reasonable Price
Town,No Membership,No,Credit/Debit Card Offers,Desktop,43.63,4339.28,19.0,553.12,No,Yes,No reason specified
City,Gold Membership,Yes,Credit/Debit Card Offers,Both,741.87,12384.57,0.0,622.28,Yes,No,Too many ads
Town,Gold Membership,Yes,Credit/Debit Card Offers,Unknown,263.36,16143.88,0.0,797.65,Yes,Yes,Poor Customer Service
City,No Membership,No,Credit/Debit Card Offers,Smartphone,42.17,10479.06,29.0,581.12,No,Yes,Poor Website
Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,96.05,11290.39,12.0,687.0,Yes,No,Poor Website
Village,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,801.13375,80245.04,0.0,813.67,No,Yes,Products always in Stock
City,No Membership,Yes,Gift Vouchers/Coupons,Unknown,242.71,46825.95,19.0,697.48,Yes,No,Poor Product Quality
Village,Silver Membership,No,Without Offers,Desktop,45.45,33383.23,25.0,299.8337499999999,No,Yes,Poor Website
Town,Gold Membership,No,Credit/Debit Card Offers,Smartphone,315.75,46486.39,9.0,701.61,Yes,No,Too many ads
Village,Basic Membership,No,Gift Vouchers/Coupons,Unknown,128.51,21036.79,12.0,616.5,Yes,No,Poor Website
Town,Platinum Membership,Unknown,Without Offers,Desktop,166.23,38807.27,22.0,754.0,No,Yes,No reason specified
Unknown,Premium Membership,Unknown,Without Offers,Desktop,198.13,17007.64,10.0,709.95,Yes,No,Poor Website
Town,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,271.87,12925.06,11.0,777.23,No,Yes,Poor Website
Town,Gold Membership,No,Gift Vouchers/Coupons,Unknown,128.85,46066.75,26.0,668.0,No,Yes,Too many ads
Village,Gold Membership,Yes,Credit/Debit Card Offers,Smartphone,618.15,3969.24,25.0,691.21,Yes,No,Poor Product Quality
City,Premium Membership,No,Credit/Debit Card Offers,Smartphone,172.25,72053.89,6.0,299.8337499999999,Yes,No,User Friendly Website
Town,No Membership,No,Without Offers,Desktop,87.29,34735.16,14.0,678.67,Yes,No,Too many ads
Village,Basic Membership,No,Credit/Debit Card Offers,Smartphone,89.99,5208.01,23.0,671.48,No,Yes,Too many ads
City,Basic Membership,No,Credit/Debit Card Offers,Smartphone,111.45,27050.73,28.0,665.78,Yes,No,Poor Website
Town,No Membership,Yes,Without Offers,Unknown,636.56,47912.55,28.0,1031.30375,Yes,Yes,Poor Customer Service
Village,No Membership,No,Credit/Debit Card Offers,Smartphone,285.37,10817.89,24.0,681.53,No,Yes,Poor Customer Service
Unknown,Premium Membership,Unknown,Credit/Debit Card Offers,Both,360.45,6744.91,8.0,766.69,Yes,No,No reason specified
Village,No Membership,Yes,Gift Vouchers/Coupons,Desktop,183.2,17102.14,13.0,509.44,Yes,No,Poor Customer Service
Town,Gold Membership,No,Without Offers,Both,801.13375,19953.22,20.0,699.15,Yes,No,Too many ads
City,No Membership,Yes,Credit/Debit Card Offers,Smartphone,58.83,42966.63,6.0,647.08,Yes,No,Poor Website
Village,Premium Membership,No,Without Offers,Desktop,238.74,74011.27,11.0,1031.30375,Yes,No,User Friendly Website
Unknown,Gold Membership,Yes,Gift Vouchers/Coupons,Unknown,87.72,44431.17,10.0,706.71,No,Yes,Poor Product Quality
Town,Gold Membership,No,Without Offers,Desktop,79.78,49768.51,17.0,741.72,Yes,No,No reason specified
Town,Basic Membership,No,Gift Vouchers/Coupons,Smartphone,177.01,33388.96,20.0,1031.30375,Yes,No,Too many ads
Town,Gold Membership,Yes,Gift Vouchers/Coupons,Smartphone,57.0,5315.68,21.0,682.17,No,Yes,Poor Customer Service
Town,No Membership,Yes,Without Offers,Unknown,0.0,44478.57,8.0,537.85,Yes,Yes,No reason specified
Town,Platinum Membership,No,Without Offers,Unknown,122.76,28431.0,17.0,733.91,No,Yes,Too many ads
City,No Membership,No,Without Offers,Smartphone,170.86,41128.52,29.0,299.8337499999999,Yes,No,Poor Website
City,Silver Membership,Unknown,Without Offers,Desktop,416.89,78238.31,1.0,792.48,Yes,No,Reasonable Price
City,No Membership,No,Gift Vouchers/Coupons,Desktop,34.37,41223.27,44.5,299.8337499999999,No,Yes,Poor Product Quality
Town,No Membership,Yes,Credit/Debit Card Offers,Desktop,65.68,37358.04,14.0,560.92,Yes,No,Poor Customer Service
Town,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,33.72,80871.465,2.0,813.08,Yes,No,User Friendly Website
Unknown,Gold Membership,No,Without Offers,Desktop,396.09,36037.02,24.0,749.28,No,Yes,Poor Product Quality
City,No Membership,Yes,Credit/Debit Card Offers,Smartphone,31.41,14006.38,25.0,671.14,Yes,No,Too many ads
City,Platinum Membership,Yes,Gift Vouchers/Coupons,Both,593.28,80871.465,4.0,815.93,No,Yes,Products always in Stock
Town,Gold Membership,Unknown,Without Offers,Desktop,211.71,18422.15,12.0,718.22,No,Yes,Poor Website
Town,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,80.94,38913.46,25.0,299.8337499999999,Yes,No,Too many ads
Village,Gold Membership,No,Credit/Debit Card Offers,Smartphone,38.08,29382.38,29.0,690.48,Yes,No,No reason specified
Unknown,Silver Membership,Yes,Credit/Debit Card Offers,Unknown,49.64,41381.42,19.0,770.96,No,Yes,No reason specified
Village,Premium Membership,No,Gift Vouchers/Coupons,Desktop,309.56,80871.465,6.0,763.64,No,Yes,Products always in Stock
City,Silver Membership,Yes,Gift Vouchers/Coupons,Both,801.13375,18503.16,44.5,717.43,Yes,No,Poor Website
City,No Membership,No,Credit/Debit Card Offers,Smartphone,801.13375,20481.85,27.0,705.64,No,Yes,Poor Customer Service
Village,Basic Membership,No,Without Offers,Both,267.86,48313.69,18.0,707.35,Yes,Yes,Too many ads
City,No Membership,No,Credit/Debit Card Offers,Smartphone,389.64,5012.73,22.0,507.01,No,Yes,Poor Website
Village,No Membership,Unknown,Gift Vouchers/Coupons,Desktop,67.5,11084.05,0.0,299.8337499999999,Yes,No,No reason specified
City,Gold Membership,Unknown,Gift Vouchers/Coupons,Both,707.63,47043.51,23.0,626.73,Yes,Yes,Poor Product Quality
Town,Basic Membership,No,Credit/Debit Card Offers,Smartphone,32.85,5727.56,29.0,671.56,No,Yes,Too many ads
Village,Silver Membership,Yes,Gift Vouchers/Coupons,Desktop,801.13375,16891.49,10.0,757.13,Yes,No,Poor Website
Town,Basic Membership,No,Credit/Debit Card Offers,Desktop,193.94,9232.91,0.0,701.03,Yes,No,Poor Product Quality
City,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,0.0,56474.57,1.0,712.19,No,Yes,Products always in Stock
Town,Platinum Membership,No,Without Offers,Desktop,374.88,46858.46,14.0,299.8337499999999,No,Yes,Poor Product Quality
City,No Membership,No,Credit/Debit Card Offers,Desktop,34.05,34987.79,25.0,607.79,Yes,No,Too many ads
Village,No Membership,No,Gift Vouchers/Coupons,Both,417.22,48101.35,0.0,299.8337499999999,Yes,No,Poor Website
Village,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,321.84,13533.79,16.0,339.4575706,No,Yes,Quality Customer Care
Town,Gold Membership,No,Credit/Debit Card Offers,Smartphone,801.13375,49388.04,14.0,773.35,Yes,No,Quality Customer Care
Village,Basic Membership,Yes,Without Offers,Smartphone,77.78,47166.13,25.0,674.74,Yes,No,Too many ads
City,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,52.02,46478.29,27.0,299.8337499999999,No,Yes,Too many ads
City,No Membership,Yes,Credit/Debit Card Offers,Smartphone,31.56,35119.32,6.0,605.04,Yes,No,Too many ads
City,Silver Membership,No,Without Offers,Desktop,87.06,2618.3,27.0,642.24,No,Yes,Poor Product Quality
Town,Gold Membership,Unknown,Gift Vouchers/Coupons,Smartphone,79.38,29233.89,26.0,767.73,Yes,No,Poor Customer Service
City,Gold Membership,Yes,Credit/Debit Card Offers,Unknown,38.09,33607.95,22.0,1031.30375,Yes,No,Poor Customer Service
Unknown,Premium Membership,Unknown,Credit/Debit Card Offers,Desktop,801.13375,12577.92,26.0,1031.30375,Yes,No,Poor Customer Service
Village,Basic Membership,Yes,Without Offers,Desktop,163.0,44521.24,9.0,1031.30375,No,Yes,Poor Website
Town,Premium Membership,Yes,Gift Vouchers/Coupons,Smartphone,780.46,35205.93,19.0,335.5743913,Yes,No,Poor Website
City,Basic Membership,No,Without Offers,Desktop,100.87,48798.64,0.0,299.8337499999999,Yes,No,Poor Website
Town,Platinum Membership,Unknown,Gift Vouchers/Coupons,Desktop,87.53,29366.89,0.0,787.34,Yes,No,Too many ads
Village,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,801.13375,66655.68,19.0,701.06,Yes,No,Products always in Stock
City,Basic Membership,No,Without Offers,Unknown,49.32,16385.86,0.0,583.8,Yes,No,No reason specified
Town,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,801.13375,46552.82,13.0,806.49,Yes,No,Quality Customer Care
Town,Silver Membership,Yes,Credit/Debit Card Offers,Smartphone,88.73,23303.36,0.0,715.62,No,Yes,Too many ads
Unknown,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,236.41,23377.18,19.0,791.87,Yes,No,Too many ads
Village,Premium Membership,Yes,Credit/Debit Card Offers,Smartphone,82.78,41089.41,20.0,779.01,Yes,No,Poor Website
Town,Premium Membership,Yes,Credit/Debit Card Offers,Desktop,32.27,53633.13,2.0,716.35,Yes,No,Quality Customer Care
Town,Premium Membership,No,Gift Vouchers/Coupons,Desktop,34.51,16460.17,0.0,786.29,Yes,No,No reason specified
Town,No Membership,Yes,Without Offers,Desktop,158.11,36732.11,14.0,570.43,Yes,No,No reason specified
Unknown,Silver Membership,No,Credit/Debit Card Offers,Smartphone,71.49,42929.57,15.0,479.1617339,No,Yes,No reason specified
Unknown,Platinum Membership,No,Credit/Debit Card Offers,Desktop,244.16,10554.44,22.0,299.8337499999999,Yes,No,Too many ads
Unknown,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,455.01,48305.76,25.0,531.37,Yes,No,Too many ads
City,Platinum Membership,Unknown,Credit/Debit Card Offers,Both,770.01,22041.23,26.0,387.8007052,No,Yes,Too many ads
Town,Platinum Membership,Yes,Credit/Debit Card Offers,Smartphone,150.45,6870.41,0.0,807.05,No,Yes,Products always in Stock
City,Silver Membership,No,Credit/Debit Card Offers,Both,204.17,20484.17,9.0,790.69,No,Yes,Too many ads
Town,Basic Membership,Yes,Without Offers,Unknown,65.9,43262.16,8.0,696.39,Yes,No,Poor Product Quality
Unknown,No Membership,No,Credit/Debit Card Offers,Both,0.0,14243.58,25.0,629.8,Yes,No,Poor Product Quality
Town,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,36.78,48143.05,16.0,705.05,Yes,No,Too many ads
Unknown,No Membership,Yes,Gift Vouchers/Coupons,Both,742.31,6564.98,26.0,602.05,No,Yes,Poor Website
Town,No Membership,No,Gift Vouchers/Coupons,Smartphone,801.13375,905.51,25.0,558.2,Yes,No,No reason specified
City,Premium Membership,Unknown,Gift Vouchers/Coupons,Unknown,259.61,3764.96,21.0,708.48,No,Yes,Poor Product Quality
Town,Premium Membership,No,Credit/Debit Card Offers,Smartphone,408.0,80871.465,0.0,779.09,No,Yes,Reasonable Price
Town,Basic Membership,No,Gift Vouchers/Coupons,Desktop,96.03,42121.94,14.0,656.63,Yes,No,No reason specified
Town,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,134.38,31325.66,23.0,765.23,No,Yes,No reason specified
Village,No Membership,Yes,Gift Vouchers/Coupons,Both,801.13375,37645.91,10.0,640.58,Yes,No,Too many ads
Town,Silver Membership,Yes,Gift Vouchers/Coupons,Smartphone,39.06,19901.46,9.0,730.07,Yes,No,Poor Product Quality
Town,Basic Membership,Yes,Gift Vouchers/Coupons,Smartphone,186.34,48381.66,23.0,631.41,Yes,No,Too many ads
Town,Platinum Membership,No,Credit/Debit Card Offers,Desktop,175.84,46344.94,0.0,721.73,Yes,No,Products always in Stock
Village,Gold Membership,Unknown,Without Offers,Desktop,269.27,37088.06,6.0,649.23,Yes,Yes,Poor Website
City,No Membership,Unknown,Credit/Debit Card Offers,Desktop,137.57,7503.97,9.0,362.2344619,Yes,No,Too many ads
Unknown,No Membership,No,Credit/Debit Card Offers,Smartphone,249.43,19988.29,22.0,1031.30375,No,Yes,Poor Product Quality
Town,Basic Membership,Yes,Gift Vouchers/Coupons,Desktop,801.13375,16425.65,5.0,645.55,No,Yes,No reason specified
Town,No Membership,Yes,Gift Vouchers/Coupons,Smartphone,96.09,20355.6,12.0,649.82,Yes,No,Poor Customer Service
Town,Gold Membership,Unknown,Gift Vouchers/Coupons,Smartphone,300.02,7828.47,24.0,299.8337499999999,Yes,Yes,Too many ads
Village,Premium Membership,No,Credit/Debit Card Offers,Desktop,483.92,66413.63,15.0,733.64,Yes,Yes,Quality Customer Care
Town,Gold Membership,No,Without Offers,Both,308.77,45564.89,36.92659855,716.28,Yes,No,Poor Website
City,No Membership,Yes,Without Offers,Unknown,30.67,6507.75,10.0,642.61,Yes,No,Poor Website
Town,Premium Membership,Yes,Gift Vouchers/Coupons,Desktop,95.85,29015.28,8.0,1031.30375,Yes,No,Too many ads
Town,No Membership,No,Credit/Debit Card Offers,Unknown,149.42,8467.39,9.0,299.8337499999999,No,Yes,Poor Website
Village,No Membership,Yes,Without Offers,Both,426.26,32146.62,20.0,629.26,Yes,No,Poor Customer Service
City,Basic Membership,Yes,Without Offers,Desktop,32.53,6891.67,17.0,299.8337499999999,Yes,No,Too many ads
City,Silver Membership,No,Without Offers,Desktop,40.43,49001.09,12.0,745.41,No,Yes,No reason specified
Town,Platinum Membership,Unknown,Without Offers,Desktop,214.8,3145.84,21.0,703.38,No,Yes,Poor Customer Service
Unknown,Gold Membership,Yes,Gift Vouchers/Coupons,Unknown,133.17,7859.43,15.0,738.86,No,Yes,Poor Website
Village,Silver Membership,No,Unknown,Desktop,205.21,40883.94,38.99894743,705.32,Yes,No,Poor Customer Service
City,Silver Membership,No,Credit/Debit Card Offers,Smartphone,183.92,46873.1,6.0,618.65,No,Yes,Poor Website
Village,No Membership,Yes,Credit/Debit Card Offers,Desktop,34.5,43105.52,29.0,627.13,No,Yes,Poor Product Quality
Village,Basic Membership,Yes,Gift Vouchers/Coupons,Both,207.93,34571.99,15.0,299.8337499999999,Yes,Yes,Poor Product Quality
City,No Membership,Unknown,Gift Vouchers/Coupons,Smartphone,97.59,42504.97,18.0,550.21,Yes,No,Too many ads
Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,34.9,25299.13,7.0,786.34,Yes,No,Poor Customer Service
Village,Platinum Membership,No,Credit/Debit Card Offers,Smartphone,426.61,11322.51,0.0,754.34,No,Yes,Poor Website
Village,Silver Membership,Unknown,Gift Vouchers/Coupons,Desktop,169.94,7522.88,5.0,299.8337499999999,Yes,No,No reason specified
Town,Gold Membership,No,Gift Vouchers/Coupons,Smartphone,324.75,28535.13,27.0,770.31,Yes,Yes,Poor Customer Service
Town,Basic Membership,Unknown,Credit/Debit Card Offers,Unknown,338.43,22458.84,16.0,299.8337499999999,Yes,No,Too many ads
Town,Platinum Membership,Yes,Gift Vouchers/Coupons,Smartphone,271.3,47809.19,0.0,770.98,Yes,No,Products always in Stock
Town,Premium Membership,No,Gift Vouchers/Coupons,Desktop,154.45,17906.99,18.0,758.52,No,Yes,Quality Customer Care
Town,Platinum Membership,No,Gift Vouchers/Coupons,Desktop,98.85,9021.13,8.0,840.1,Yes,No,Reasonable Price
Unknown,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,445.28,17382.32,14.0,798.2,Yes,No,No reason specified
City,No Membership,Unknown,Gift Vouchers/Coupons,Smartphone,60.23,32156.6,16.0,619.59,No,Yes,No reason specified
City,Gold Membership,Yes,Gift Vouchers/Coupons,Desktop,101.17,38128.05,17.0,345.5668981,Yes,No,No reason specified
Town,Platinum Membership,No,Gift Vouchers/Coupons,Smartphone,100.79,38494.04,23.0,735.98,No,Yes,Poor Product Quality
Town,No Membership,Yes,Credit/Debit Card Offers,Desktop,99.59,45652.26,20.0,632.49,No,Yes,Poor Product Quality
